portfolio_id,effective_date,instrument_id,quantity,unit_cost
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_CASH_EUR,137.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_COM_ENERGY_USD,223.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_COM_METALS_USD,311.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_CR_EUR,419.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_CR_USD,521.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_EQ_EUR_A,617.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_EQ_EUR_B,719.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_EQ_GBP,823.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_EQ_USD_A,929.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_EQ_USD_B,1031.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_GOV_EUR,1123.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_GOV_GBP,1229.0000000000,
SYNTHETIC_LAB_PORTFOLIO,2025-12-31,LAB_GOV_USD,1301.0000000000,
