date,instrument_id,close
2021-01-04,LAB_CASH_EUR,100.0000000000
2021-01-05,LAB_CASH_EUR,99.9998673188
2021-01-06,LAB_CASH_EUR,99.9445256172
2021-01-07,LAB_CASH_EUR,99.9826784612
2021-01-08,LAB_CASH_EUR,99.9653738036
2021-01-11,LAB_CASH_EUR,99.9380287107
2021-01-12,LAB_CASH_EUR,99.9281391755
2021-01-13,LAB_CASH_EUR,99.9250033301
2021-01-14,LAB_CASH_EUR,99.9468138142
2021-01-15,LAB_CASH_EUR,99.9312700354
2021-01-18,LAB_CASH_EUR,99.9548485042
2021-01-19,LAB_CASH_EUR,99.9937302507
2021-01-20,LAB_CASH_EUR,99.9599077087
2021-01-21,LAB_CASH_EUR,99.9714435643
2021-01-22,LAB_CASH_EUR,100.0005743365
2021-01-25,LAB_CASH_EUR,100.0064872122
2021-01-26,LAB_CASH_EUR,99.9855737505
2021-01-27,LAB_CASH_EUR,99.9660840494
2021-01-28,LAB_CASH_EUR,99.9603779144
2021-01-29,LAB_CASH_EUR,99.9159268563
2021-02-01,LAB_CASH_EUR,99.9468438772
2021-02-02,LAB_CASH_EUR,99.9438519455
2021-02-03,LAB_CASH_EUR,99.9579338258
2021-02-04,LAB_CASH_EUR,99.9514655121
2021-02-05,LAB_CASH_EUR,99.9744624040
2021-02-08,LAB_CASH_EUR,100.0005577248
2021-02-09,LAB_CASH_EUR,100.0037233549
2021-02-10,LAB_CASH_EUR,100.0342644967
2021-02-11,LAB_CASH_EUR,100.0401562078
2021-02-12,LAB_CASH_EUR,100.0378786768
2021-02-15,LAB_CASH_EUR,100.0478514946
2021-02-16,LAB_CASH_EUR,100.0235086183
2021-02-17,LAB_CASH_EUR,100.0503275852
2021-02-18,LAB_CASH_EUR,100.0463360670
2021-02-19,LAB_CASH_EUR,100.0637504293
2021-02-22,LAB_CASH_EUR,100.0797473861
2021-02-23,LAB_CASH_EUR,100.1002516405
2021-02-24,LAB_CASH_EUR,100.0836885662
2021-02-25,LAB_CASH_EUR,100.0963366873
2021-02-26,LAB_CASH_EUR,100.1297202399
2021-03-01,LAB_CASH_EUR,100.1602867996
2021-03-02,LAB_CASH_EUR,100.0885594477
2021-03-03,LAB_CASH_EUR,100.0887985477
2021-03-04,LAB_CASH_EUR,100.1177443244
2021-03-05,LAB_CASH_EUR,100.1355621377
2021-03-08,LAB_CASH_EUR,100.1691022870
2021-03-09,LAB_CASH_EUR,100.2064552313
2021-03-10,LAB_CASH_EUR,100.2169566464
2021-03-11,LAB_CASH_EUR,100.2149826283
2021-03-12,LAB_CASH_EUR,100.2023795676
2021-03-15,LAB_CASH_EUR,100.2124692641
2021-03-16,LAB_CASH_EUR,100.2080828273
2021-03-17,LAB_CASH_EUR,100.2310303193
2021-03-18,LAB_CASH_EUR,100.2375717276
2021-03-19,LAB_CASH_EUR,100.2750421874
2021-03-22,LAB_CASH_EUR,100.2757174749
2021-03-23,LAB_CASH_EUR,100.2871929855
2021-03-24,LAB_CASH_EUR,100.2993180933
2021-03-25,LAB_CASH_EUR,100.3145477796
2021-03-26,LAB_CASH_EUR,100.3451425329
2021-03-29,LAB_CASH_EUR,100.3623680015
2021-03-30,LAB_CASH_EUR,100.3381443055
2021-03-31,LAB_CASH_EUR,100.3437961674
2021-04-01,LAB_CASH_EUR,100.3512325681
2021-04-02,LAB_CASH_EUR,100.3790044110
2021-04-05,LAB_CASH_EUR,100.3649957835
2021-04-06,LAB_CASH_EUR,100.3892042770
2021-04-07,LAB_CASH_EUR,100.3198708312
2021-04-08,LAB_CASH_EUR,100.2938368011
2021-04-09,LAB_CASH_EUR,100.3149910776
2021-04-12,LAB_CASH_EUR,100.3377740010
2021-04-13,LAB_CASH_EUR,100.3641282111
2021-04-14,LAB_CASH_EUR,100.3698475483
2021-04-15,LAB_CASH_EUR,100.3614017987
2021-04-16,LAB_CASH_EUR,100.3335995678
2021-04-19,LAB_CASH_EUR,100.3348513127
2021-04-20,LAB_CASH_EUR,100.3660108208
2021-04-21,LAB_CASH_EUR,100.3625479075
2021-04-22,LAB_CASH_EUR,100.3672378274
2021-04-23,LAB_CASH_EUR,100.3576577452
2021-04-26,LAB_CASH_EUR,100.3718690196
2021-04-27,LAB_CASH_EUR,100.3488122230
2021-04-28,LAB_CASH_EUR,100.3254522614
2021-04-29,LAB_CASH_EUR,100.3583534035
2021-04-30,LAB_CASH_EUR,100.3898484784
2021-05-03,LAB_CASH_EUR,100.3898521618
2021-05-04,LAB_CASH_EUR,100.4071491621
2021-05-05,LAB_CASH_EUR,100.4404228224
2021-05-06,LAB_CASH_EUR,100.4428440577
2021-05-07,LAB_CASH_EUR,100.4562708946
2021-05-10,LAB_CASH_EUR,100.4496248390
2021-05-11,LAB_CASH_EUR,100.4690865663
2021-05-12,LAB_CASH_EUR,100.4927055878
2021-05-13,LAB_CASH_EUR,100.5212001517
2021-05-14,LAB_CASH_EUR,100.5128402825
2021-05-17,LAB_CASH_EUR,100.5559752539
2021-05-18,LAB_CASH_EUR,100.5758033160
2021-05-19,LAB_CASH_EUR,100.6258688525
2021-05-20,LAB_CASH_EUR,100.6563248087
2021-05-21,LAB_CASH_EUR,100.6930800109
2021-05-24,LAB_CASH_EUR,100.6764292222
2021-05-25,LAB_CASH_EUR,100.7195177211
2021-05-26,LAB_CASH_EUR,100.7374119581
2021-05-27,LAB_CASH_EUR,100.7755103726
